title,description
"What Kind of Friend Are You? (Rockett, 2)","When a classmate asks Rockett for help with homework, she helps him
out, but soon things have gotten out of hand and she has to decide
where to draw the line."
Star Dragon,"The discovery by an interstellar probe of a mysterious alien dragon
made of the very essence of stars sends Captain Lena Fang,
exobiologist Samuel Fisher, and the rest of the crew of the Karamojo
on a difficult journey to SS Cygni, a world ..."
Circles Of Stone,"The story of three wise women, each named Zena but born eons apart,
ranges from the African savanna of more than one million years ago to
the shores of the Red Sea to the limestone caves of the Pyrenees
mountains."
"DEEP TROUBLE (HARDY BOYS CASE FILE 54) : DEEP TROUBLE (Hardy Boys Casefiles, No. 54)","Joining a crew of divers in the process of extracting gold from a
shipwreck, Frank and Joe Hardy become the targets of sabotage and are
soon engaged in speedboat chases and underwater combat."
Like We Used to Be,"Two sisters, beautiful and domesticated Zoe and rebellious Leila,
discover new aspects of themselves and each other as they face
challenges and changes"
The Resurrection of Joseph Bourne (New Canadian Library Series),"Jack Hodgins’ comic masterpiece is filled with social satire, and it
is also filled with love, which permits this ordinary town to
recollect the past with affection, and to begin its history again."
"The Dead Sea Scrolls After Forty Years (Symposium at the Smithsonian Institution, Oct. 27, 1990)","Overview of the history of the Scrolls: their discovery, their origin,
their translation, and the contention over their intellectual
&quot;ownership.&quot;"
In Love With Life: Reflections on the Joy of Living and Why We Hate to Die (Vanderbilt Library of American Philosophy),"Leaving behind the abstruseness of his field, a professor of
philosophy demonstrates the relevance of philosophy to life and offers
readers a guide for living, addressing such matters as euthanasia and
the problem of fulfillment in modern ..."
Faust/Bilingual,"This elegant new edition features numerous beautiful line drawings and
jacket lettering by the renowned Czech artist Peter Sis, author of the
award-winning books &quot;Starry Messenger: Galileo Galilei&quot; and
&quot;Tibet: Through the Red Box.&quot;"
"The Sky, the Stars, the Wilderness","Three novellas make up a trilogy that focuses on the land, whether it
be the dry, difficult world of a Texas range, a winter wilderness, or
an ancient ocean buried in the foothills of the Appalachian mountains"
Harry and Hortense at Hormone High,"Harry and Hortense, reporters for the school newspaper, must cope with
the dynamic, mesmerizing Jason Rohr, who claims to be the incarnation
of the Greek demigod Icarus and who has chosen them to convey his
prophecies."
Trevayne,"Self-made Andrew Trevayne jeopardizes himself and his family when he
agrees to uncover the force that controls the United States government"
Maisy's ABC (Maisy Books (Hardcover)),"Maisy the mouse peeps out here and there among the animals of an
alphabet book that features tabs to pull and flaps to lift"
The Truth of the Matter: My Life in and Out of Politics,"The Democratic power broker instrumental in the careers of Jimmy
Carter and Jesse Jackson presents his memoirs, covering his political
rise, fall, and rise again and offering valuable lessons in the
political game"
Roald Dahl's James and the Giant Peach,"Through magic James finds himself in a huge peach that rolls on a
series of madcap adventures."
Love's Legacy (Zebra Splendor Historical Romances),"In 1888 Pennsylvania, coal is survival, and the wealthy mine barons
are its keepers."
Adrift on the Nile,"In a houseboat moored along the banks of the Nile, a group of
disaffected middle-class Cairenes who gather each evening to socialize
experience a tragedy that rips apart their friendships."
The Family Plan,"The Family Plan by Gina Wilkins released on Feb 21, 2003 is available
now for purchase."
An Outside Chance: Classic and New Essays on Sport,"The author offers a personal account of a life of sporting adventure
from the Florida Keys, to the plains of Montana, to the streams of
Michigan"
XML and SQL: Developing Web Applications,"This guide for Web developers and database programmers shows how to
build robust XML applications backed by SQL databases."
I Want to Live,"Dawn Rochelle turns fourteen and her leukemia has been in remission
for almost a year. But now she needs to receive a bone marrow
transplant from her brother. Copyright © Libri GmbH. All rights
reserved."
"Maybe, a Mole","Five adventures of Maybe, a mole that can see."
Against the Night: Living in the New Dark Ages,"Argues that the U.S. is on the eve of a new dark age and explains how
the Christian community can turn the situation around"
Six Sticks (Step Into Reading Math),"Depicts various things that can be made with six sticks, from a tall
mouse to a trapeze for fleas."
Tarot of the Cat People: A Traveler's Report (with Tarot Deck),"Science fiction and fantasy combine to create a 78-card tarot deck and
book set by Karen Kuykendall, situated in a distant place known as the
Outer Regions, where people have a mystical rapport with cats."
"Office on the Go: Tools, Tips and Techniques for Every Business Traveler","Aims to provide an easy-to-use guidebook to mobile office
technologies, to enable travelling business people to be fully wired
with notebook computers and so on to turn wasted travel hours into
productive time."
Healing and the Mind,"Addressing the issues associated with alternative medicine, a
companion volume to a successful PBS series demonstrates how mind/body
medicine is being effectively applied to such conditions as stress,
cancer, and neonatal problems."
Just Desserts,"A compelling story about a well-off woman who loses everything that
she has, but gains everything that she loves."
Misreadings,"We are permitted to see in-house publisher’s readers’ reports, most of
them unfavourable, on such submissions as The Odyssey, Don Quixote,
Kant’s Critique of Pure Reason, and the Five Books of Moses; and we
hear a diatribe, in ancient ..."
Lone Wolf #04: Chasm Of Doom,"Transformed into Lone Wolf, last of the Kai Lords, the reader sets out
to find a missing gold shipment and the patrol that vanished searching
for it."
Light Music,"As people begin vanishing in the wake of unearthly lights, Jason
Peabody, one of the few people who remember the Internet, makes a
startling discovery that prompts him to investigate the
disappearances."
A New Beginning/Daily Devotions for Women Survivors of Sexual Abuse (The Serenity Meditation Series),Part of the Serenity Meditation series.
Fairy Tale Faith: Living in the Meantime When You Expected Happily Ever After,"Using imagery drawn from fairy tales, Waggoner offers sound answers
for issues that deeply affect women of today, such as self-esteem and
body image."
Conquering Arthritis: What Doctors Don't Tell You Because They Don't Know: 9 Secrets I Learned the Hard Way,"This book provides hard-earned, practical, detailed information that
is critical for successful healing of arthritis, but that has never
been collected before in one book."
Twentieth-Century Social Thought,"This mainstream text for sociology and humanity introductory classes
focuses on controversial social philosophers and theorists in the
context of Western social thought and culture."
Gorilla Talk (Congo),"Describes the talking gorilla in the movie &quot;Congo,&quot; looks at
real research into human-animal communication, and discussess Washoe
and Koko, primates who use sign language."
Midnighters #1: The Secret Hour (Midnighters),"A story of courage, shadowy perils, and unexpected destiny, the secret
hour is the first volume of the mesmerizing Midnighters trilogy by
acclaimed author Scott Westerfeld."
The Hidden Window Mystery (Nancy Drew (Hardcover)),"Nancy Drew visits her cousin in Virginia hoping to locate a missing
stained-glass window."
The Bones of Giants (Hellboy),"The demon paranormal investigator known as Hellboy, looking into a
discovery in Sweden, has a massive iron hammer fused to his stone
right hand that brings him visions of another life he never lived
while he struggles against the return of ..."
Measuring and Monitoring Biological Diversity: Standard Methods for Mammals (Biological Diversity Handbook Series),"&quot;Provides a comprehensive manual for designing and implementing
inventories of mammalian biodiversity anywhere in the world and for
any group, from rodents to open-country grazers.&quot; -- Back cover."
Eagles at War,"Led by General Henry Caldwell, American aviation pioneers Frank
Bandfield and Hadley Roget race against time as they compete with Nazi
aircraft designer Bruno Hafner for aviation supremacy"
Heaven on Earth (Diamond),"Teetotaler Elizabeth Lee finds her convictions shaken when she falls
for a frontier-bound Scottish rogue and troublemaker, Kincade MacKay.
Original."
Der Pompejaner. Historischer Roman.,"Philipp Vandenberg verknüpft die historische Darstellung des Lebens in
der Antike mit einer dramatischen Handlung von der Spannung eines
Kriminalromans."
Mike's Corner: Daunting Literary Snippets from Phish's Bassist,"Illustrated in full color throughout with drawings and photocollages
by Gordon and his girlfriend, Priscilla Foster, this demented
collection will be a must-own for Phish fans and everyone who
appreciates the absurd."
Curmudgeon's Garden of Love,"A sardonic collection of quotations depicts the downside of being in
or out of love, offering wit from such luminaries as Zsa Zsa Gabor,
Lewis Grizzard, and Charles Bukowski"
The Cunning Man: A Novel,"Following a mysterious death at the High Altar on Good Friday,
holistic doctor Jonathan Hullah takes a critical look at his past and
the individuals who shaped his life, and reevaluates his personal
philosophies. 60,000 first printing. $50 ..."
A New Mother's Home Companion: From Birth Through the First Three Months,"A down-to-earth guide for anxious new mothers is presented in a gift
format that addresses the needs of the mother as opposed to just the
baby, and offers tips on essential child care while providing
reassurance. Original."
The Best Thing I Ever Tasted: The Secret of Food,"Through a lively mixture of history, memoir, sociology, and family
recipe, The Best Thing I Ever Tasted explores our public and private
attitudes about food, and seeks to put us back in touch with the
elemental needs behind our modern ..."
Wednesday Is Spaghetti and Macaroni and Fettucine and Pasta Salads and More (The Everyday Cookbooks),"A collection of easily prepared dishes featuring pasta includes pasta
salads, pasta with sauces, and pasta with meat or vegetables"
The Successful Homeschool Family Handbook,A creative and stress-free approach to homeschooling.
Zen and the art of the internet: A beginner's guide (Prentice Hall series in innovative technology),"A readable introduction to the Internet explains how to use this
worldwide system of computer networks, examining the various available
networks and explaining how to use as E-mail, File Transfer Protocol,
and special commercial services ..."
"The Simple Living Guide: A Sourcebook for Less Stressful, More Joyful Living","Offers advice to those seeking to simplify their lives and provides
strategies, inspiration, and resources for establishing a thoughtful
life style Discover Simple Living approaches to: Time Money Inner
Simplicity Wo"
I Think There's A Terrorist In My Soup:  How to Survive Personal and World Problems with Laughter - Seriously,"The popular comedian shares a collection of essays on a wide range of
issues drawn in good part from highlights of his eighteen-month, post-
September 11th tour in which he demonstrated how humor can transcend
personal and world problems, ..."
La tregua,"Martin Santome, a forty-nine-year-old widower with three children,
finds his life turned upside down when he meets and falls in love with
Laura Avellaneda, a beautiful girl, much younger than himself."
"Mum, Dad and Me","Billedbog med kort tekst og letaflæselige illustrationer. I små
præcise hverdagssituationer fortælles om samværet mellem far, mor og
den lille lege- og kælesyge Mads"
"Nice Girl's Book of Naughty Spells: Get Rich, Get Lucky, Get Even","Deborah Gray shares the ancient secrets of spellcasting and shows
readers how to weave a little magic in their lives."
"Power, Privilege and the Post: The Katharine Graham Story","Power, Privilege and the Post weaves together two fascinating stories."
"Cuba, l'arme secrÃ?Â¨te",Fidel Castro se meurt.
The World of Nature Invisibles: Hidden Picture Puzzles,"Includes eighteen detailed drawings of various habitats, from savannah
to tropical rainforest, with at least five hidden animals in each
picture"
The Heart of Danger,"When a secret mass grave in the Balkans reveals the body of Dorrie
Mowat, intelligence officer-turned-P.I. Bill Penn is drawn into the
barbaric domain of a psychotic Serbian warlord to uncover the truth,
only to find his life and everything ..."
Lake Superior (True Books: Geography: Great Lakes (Paperback)),"Discusses the history, nautical stories, and industrial and social
significance of Lake Superior."
Alexander and the Wind-Up Mouse,"Alexander, a real mouse, wants to be a toy mouse like his friend Willy
until he discovers Willy is to be thrown away."
Dark Coulee (Worldwide Library Mysteries),"Dark Coulee by Mary Logue released on Sep 24, 2001 is available now
for purchase."
Carlota Fainberg,"El humor y la sátira social dominan en esta especie de comedia de
costumbres contemporánea que tiene lugar en el forzado encuentro de
dos hombres en un lejano aeropuerto."
The Magician's Nephew (rpkg) (Narnia),"In the first book of The Chronicles of Narnia, C.S. Lewis shows us how
it all began -- the glorious birth of Narnia at the hand of its
unforgettable King."
Transact-SQL Programming,"Provides detailed information about Transact-SQL programming and shows
specific differences between the Microsoft and Sybase versions of the
language."
Chasing Horses,"The book follows the relationship that develops between Ricki and a
homicide detective and her ex-husband, with whom she is still in love."
Dictionary of Art and Artists (Reference Books),"Fully revised for its seventh edition, this comprehensive and detailed
reference contains entries on major artists of the last seven
centuries; short biographies of over 1,200 artists; descriptions of
artistic techniques and styles; ..."
Ancient Light: Our Changing View of the Universe,"A leading astrophysicist summarizes the new theories of the origin of
the universe and explains how they discredit older hypotheses, such as
the &quot;Big Bang&quot; theory"
White by Definition: Social Classification in Creole Louisianna,"&quot;--Law and Society &quot;I highly recommend this book to all
persons interested in social stratification."
Tiger's Eye : A Memoir,"A prize-winning Australian historian chronicles her long struggle with
an incurable liver disease and offers a detailed examination into the
workings of the human memory and the construction of the self under
the challenges of a disability. ..."
Ich bin die kleine Katze.,"Story about a little cat who discovers different things of her
interest in her garden."
Good Morning Baby (What-a-Baby Books),Follows the activities of a baby waking up in the morning
Rendezvous,"Determined to prove to her betrothed, the Earl of Greystone, that she
is less than a model of virtue and an unfit choice for a wife,
spirited Augusta Ballinger arranges a midnight rendezvous with
disastrous results"
The Golden Road,"Staying the winter on Prince Edward Island with the King family, Sara
Stanley and the King children decide to publish their own magazine."
Cassell's Dictionary of Superstitions (Cassell Reference),"Alphabetically arranged entries provide coverage of a wide range of
ancient and modern fears, beliefs, and taboos, explaining the rituals,
charms, and talismans invoked by the superstitions."
"Battle Royale, Vol. 3",Graphic novel.
Bully : Does Anyone Deserve to Die?,"Booby Kent was a bully--a steroid-pumped 20-year-old who dominated his
peers in their comfortable, middle-class Ft. Lauderdale beach
community through psychological, physical and sexual abuse."
The Gardener's Guide,"Very basic, highly informative, illustrated guide to 500 types of
garden plants."
Little Lord Fauntleroy (Dover Evergreen Classics),"An American boy goes to live with his grandfather in England, where he
becomes heir to a title and a fortune."
A Nothing Town in Texas,"When cowboy Decker Jones moves to the town of Sawbuck at the request
of his hated uncle--powerful landowner Frank Jones--he unexpectedly
falls in love with Naomi Wentworth, a mysterious woman out to
singlehandedly save the town from his ..."
Notorious (Zebra Historical Romance),"After being jilted, Jemima MacKinnon, swearing off scoundrels forever,
forms a secret group of &quot;old maids&quot; and spinsters known as
the Ladies, who delight in exacting revenge on womanizing aristocrats,
but the tables turn when the gentleman ..."
El abogado del diablo,"Canonical inquisitor Monsignor Blaise Meredith is forced to face
questions about his own life when he is sent to investigate the cult
of sainthood that has developed around the mysterious Giacomo Nerone."
"Nate The Great (Nate The Great, paper)","A young boy who enjoys playing junior detective is called upon to help
a friend find a missing painting."
Hidden World:  Human Body (A First Discovery Book),"Explores the inside of the human body, depicting organs, bones, and
muscles and how they function. Includes a paper flashlight that can be
used to view hidden images."
"The  \M\""  Word (Bel Barrett Mysteries (Avon Books))""","With a sensibility shaped in the sixties and kids born in the
seventies, Jersey City community college professor Bel Barrett hit the
big five-O in the nineties."
The Enigma of Energy: Where Science and Religion Converge,"For anyone who asks, What is life? Why are we here? Is there a purpose
in the universe? The author demonstrates that energy is the unifying
force that binds us together with one another and with the Designer of
the universe."
Bob's Birthday (Bob The Builder),"Bob the builder is sad because he thinks that everyone has forgotten
his birthday."
Something Borrowed,"Something Borrowed is also very well written---nice, spare prose,
which kept me pressing forward, agog to know what happened. This is a
book which takes a clear-eyed look at the rivalry that exists in even
the best of friendships."
Becoming a Manager: Mastery of a New Identity,"Above all, they describe what it meant to take on a new identity. Two
themes emerge from this fascinating book."
The Ages of Lulu,Two erotic novellas by a French writer.
"The Mixed-Up Museum (Scooby-Doo, 6)","Scooby Doo and his gang are in a race to solve the mystery in the
natural history museum that is causing dinosaur bones to break and the
animals to come to life."
"Eye for Eye/the Tunesmith (Tor Science Fiction Double, No 27)",FICTION-SCIENCE FICTION
Run Away Home,"In 1886 in Alabama, an eleven-year-old African American girl and her
family befriend and give refuge to a runaway Apache boy."
Wagons West Idaho (Wagons West),"Two battalions of cavalry troops escort the new governor, Toby Holt,
into his domain--wild, lawless Idaho territory."
"Mates, Dates, and Mad Mistakes (Mates, Dates)","Eager to be treated like an adult, Izzie sets off to prove to everyone
that she is worthy of her new status--despite the few setbacks she may
have during the transition. Original."
Hellflower,"Seasoned smuggler Butterfly St. Cyr is targeted for execution when she
tries to rescue young hellflower Tiggy Stardust, and even the most
powerful artificial intelligence in the universe might not be enough
to save her"
"The Carnivorous Carnival (A Series of Unfortunate Events, Book 9)","With millions of readers worldwide, and the Baudelaire′s fate turning
from unpleasant to unseemly, it is clear that Lemony Snicket has taken
nearly all the fun out of children′s books. Ages 10+"
Creative Woodturning,"Nearly six hundred photographs accompany the text to clarify the
operation of the wood lathe and its use for specific projects."
The Eleven Million Mile High Dancer (Norton Paperback Fiction),"Intellectual sparks fly in this Space Age chronicle of the life,
loves, and intergalactic adventures of sexy astronaut/physicist Amanda
Jaworski, who approaches the natural and the supernatural with the
same high-spirited, informed humor."
Cement a Novel,Delineates the life of the people in relation.
Wide As the Waters : The Story of the English Bible and the Revolution It Inspired,"Relates the story of the &quot;English Bible,&quot; with details of
how King James assembled a team of experts to translate the text into
English, and examines the political, social, cultural, and spiritual
ramifications of the King James Bible."
A Dirty Distant War,"Major John Reisman is caught in a web of deception and betrayal on a
mission to Southeast Asia during the final days of the Second World
War"
The BURNING (FEAR STREET SAGA 3),"Daniel and Nora, two young lovers from feuding families, must use
their forbidden love to stop the awesome evil that stalks Nora and her
family. Original."
Cave in the Snow: A Western Woman's Quest for Enlightenment,"How an Englishwoman has become a Buddhist legend and a champion for
the rights of women to attain spiritual enlightenment."
Tipping the Velvet,"Chronicles the picaresque adventures and romantic misadventures of Nan
King, a one-time oyster girl from a provincial seaside town, through
the gay and lesbian world of late Victorian England. A first novel.
15,000 first printing."
Adventuring With Children: An Inspirational Guide to World Travel and the Outdoors (Avalon House Travel Series),"Tips for travel and outdoor recreation with children. Foster family
bonding and create lasting memories through travel adventures."
Lonely Planet Chile & Easter Island (4th ed),"Chile boasts a varied landscape, from desert to lush forest, snow-
capped volcanoes, glaciers and fjords."
"Core Java (Java Series (Mountain View, Calif.).)","The book is perfect for C/C++ programmers who want to add Java to
their skill set, Visual Basic programmers who want to learn Java to
broaden their marketability, and COBOL programmers who want to
&quot;retool&quot; by learning Java."
The Contract Surgeon,"Beautifully written, set in the stunning North Dakota badlands, the
novel documents the total destruction of a way of life while
confirming the invincibility of the human spirit."
Sport,"With the enthusiastic help of Harriet the spy and her friends, Sport,
a boy who lives with his father and manages the family money, escapes
from his mother who returns to claim his inheritance."
A Dutiful Daughter,"The bizarre history of a family, imprisoned on their mountain farm and
within their own beings by a freak reversal of nature"
Mean Streak,"Brooklyn attorney Cass Jameson takes on the toughest case of her
career, the defense of her former lover, powerful Mafia lawyer Matt
Riordan, who has been accused of bribery, but the case becomes
complicated by an overly ambitious district ..."
The Boy Must Die,"In this breathless thriller, the unforgettable Billy Yamamoto and his
inherited team of local cops confront child abuse, professional
negligence, and racial intolerance as they investigate connections
between a dead boy and numerous &quot;solid&quot; ..."
Chinese Bell Murders (Judge Dee Mysteries),"The great Chinese detective Judge Dee begins work on the most
disquieting case of his career when he reviews the rape murder on Half
Moon Street"
Scenes From a Marriage,"Marianne and Johan always seemed like the perfect couple. But when
Johan suddenly leaves Marianne for another woman, they are forced to
confront the disintegration of their marriage. Became a TV motion
picture."
Soon Come,"The other story is of her summer of writing and meeting Nick Faber, a
college instructor, who rents a neighboring cabin. The stories shift
between the sharply contrasted worlds of serene Bent Needle Lake and
turbulent Jamaica."
Border Music,"The best-selling author of The Bridges of Madison County presents an
evocative portrait of the ups and downs in the relationship of Texas
Jack Carmine and Linda Lobo. Reprint."
The Last Good Night: A Novel,"Happily married anchorwoman Laura Barnett has spent the last twenty
years trying to erase the memories of one horrible night, but when she
encounters a voice from the past, her worst fears come true. 30,000
first printing."
"A Necessary Evil, A","The story passes from Harold, the weak psychotic father to Shayne, the
new breed cop, and describes their lives which are bound by blood,
justice and their own code of honour. The author has written for film
and television."
Les Liaisons Dangereuses (Penguin Classics),"An epistolary novel chronicles the cruel seduction of a young girl by
two ruthless, eighteenth-century aristocrats"
Walk This Way : The Autobiography of Aerosmith,"The complete story of five incomparable and uncompromising musical
artists who pulled themselves up out of nowhere to become rock icons;
who crashed and burned spectacularly; and who rose up gloriously from
the ashes to reclaim their ..."
This Is the Faith,Complete explanation of the Catholic Faith.
The Loss of Self: A Family Resource for the Care of Alzheimers Disease and Related Disorders,"Combines tenderness and insight with a base of solid knowledge and
extensive experience. Though written for families, it should be read
by every professional whose work touches their lives."
A Cry In The Night,"Mary Higgins Clark, the New York Times bestselling &quot;Queen of
Suspense&quot; shares another story filled with intrigue and mystery."
"Condition Critical (University Hospital, No 2)","An accident puts one of the S.C.R.U.B.S. teens into a coma, and now
Summer is trying to get the hospital to take her seriously before
another tragedy occurs. Original."
Little Lord Fauntleroy (Aladdin Classics),"In the late-nineteenth century, seven-year-old Cedric leaves America
to live with his grandfather in England, where he becomes heir to a
title, an estate, and a fortune."
You're Grounded Till You're Thirty!: What Works - And What Doesn't - In Parenting Today's Teens (Good Housekeeping Parent Guide),"Offers parents of teenagers suggestions for dealing with issues such
as substance abuse, poor grades, dating, money, and chores"
Snakes Alive!,"An introduction to various types of snakes and basic information on
things such as body temperature, food, movement and scales as well as
other information."
Babe Ruth : One of Baseball's Greatest (Childhood Of Famous Americans),"Childhood of Famous Americans One of the most popular series ever
published for young Americans, these classics have been praised alike
by parents, teachers, and librarians."
Informed Consent,"Relates how leaking silicone breast implants destroyed the health of a
woman and forced her husband to make a moral decision regarding his
employer--the company that made the implants"
Private Scandals,"An ambitious young woman tries to make her way in the tempestuous,
high-paced world of the television talk show. Reissue."
Daughter of Darkness,"From the author of &quot;Rulers of Darkness&quot; comes the story of a
young intern who lives a secret life as a vampire."
Stories to Feed Your Soul,"The author of Whispers of Angels shares touching, humorous, and
inspiring stories about small-time life designed to warm the heart and
feed the soul. Original."
Man Without a Country and Other Stories,"Contains an assortment of tales, including &quot;The last of the
Florida,&quot; &quot;Christmas waits in Boston,&quot; &quot;The
children of the public,&quot; and &quot;The last voyage of the
Resolute&quot;"
Marked for Murder,The time is always the same -- Sunday afternoons.
The Memoirs of Hadrian,"Written in the form of a testamentary letter from the Emperor Hadrian
to his successor, the youthful Marcus Aurelius, this work is as
extraordinary for its psychological depth as for its accurate
reconstruction of the second century of our ..."
"Murder in Foggy Bottom (Truman, Margaret, Capital Crimes Series.)","Three plane crashes bring together the efforts of suave investigator
Max Pauling, a beautiful bird-watcher, and a shady militia group, in a
mystery that takes readers from the State Department to the rogue
black markets of Russia. 50,000 ..."
Prairie: The Legend of Charles Burton Irwin and the Y6 Ranch,"From the historic wagon trains, cattle drives and Wild West shows, to
the birth of the railroad and the dawn of the first world war, Charles
Burton Irwin and his family rode the American West into a new frontier
--the twentieth century."
Starting Out Together: A Devotional for Dating or Engaged Couples,"This dynamic 60-day devotional from well-known Christian counselor H.
Norman Wright is written expressly for pre-engaged, engaged or dating
couples."
The Cocktail: The Influence of Spirits on the American Psyche,"A cultural history of the cocktail by the author of Elevator Music
shows how cocktails have impacted politics, movies, popular songs,
architecture, circadian rhythms, and social interactions."
HER LITTLE MAJESTY : The Life of Queen Victoria,"A multilayered portrait of Queen Victoria describes the life and reign
of a monarch who ruled for sixty-four years, offering a very human
portrait of a woman who lost her beloved husband and went on to carry
out her duties as mother, ..."
Koya Delaney and the Good Girl Blues,"(Book Jacket Status: Jacketed) Volumes 1, 2, and 3 of the Bury Text,
in a boxed set. Introduction by Hugh Trevor-Roper"
Doctor Sax: Faust Part Three,"Jack Duluoz, a French-Canadian boy growing up in the factory town of
Lowell, Massachusetts, is haunted throughout his adolescence by Dr.
Sax, a cryptic, hipster phantom."
The Proposing Tree: A Love Story,"The impetus for this novel is a real tree in Los Angeles where young
men pledge their love and commitment to the women in their life. This
novel charts the course of one such couple."
Discovering the Soul of Service: The Nine Drivers of Sustainable Business Success,"Dedicating a chapter to each of these nine drivers, this book is the
most far-reaching and insightful vision ever presented of the
principles and step-by-step actions that continuously bring success to
life in a company."
Batman: The Novelization,"Charting the origins of the Dark Knight, the tale of Batman recounts
the early battles between the Caped Crusader and The Joker--who is
plotting the destruction of Gotham City"
Pluto Rising,"Pluto Rising is a classic murder-mystery featuring a smart, down-to-
earth sleuth ... and a unique twist: Each main character was created
with an in-depth astrological chart that holds important clues to his
or her complex personality.&quot;... ..."
The Royals (not for sale in the UK),"Queen Elizabeth, Prince Charles, Princess Diana...here are the
scandals of the last decades: the doomed marriages and the husbands,
wives, lovers and children caught in their wake and damaged beyond
repair. No one is spared."
Angel,"A dramatic coming-of-age tale that parallels the life of a young woman
with the political fortunes of her Caribbean island nation,
&quot;Angel&quot; &quot;vividly portrays the harshness of life in the
Third World."
Walking the World in Wonder: A Children's Herbal,"The book also includes simple recipes that children can use, with
adult supervision, to treat minor ailments--peppermint tea to soothe a
troubled tummy or plantain salve to heal a scraped knee."
The Analects of Confucius (Norton Paperback),"&quot;This is the Confucius translation for our time.&quot;--Jonathan
Mirsky, The Times [London]"
Unto the Grave,"He just as soon departs, when he is found dead in the swimming pool.
The hosts of the hotel, John and Rose Kempton, are soon facing ruin
when two more guests are found dead."
"Humbug: A Novel (X-Files, No. 5)","Scully and Mulder have to throw the rule book away when they
investigate a murder in Gibsonton, Florida, where normal does not
exist."
Behold...the Dragons!,"In a book that is carefully researched, brimming with energy and
charm, and full of fascinating facts, Gail Gibbons tells readers all
about dragons -- their origins, their place in mythology and
folktales, and why we are still so fascinated ..."
Earthquake! (Left Behind: The Kids #12),"When the great earthquake called &quot;the wrath of the Lamb&quot;
strikes, the members of the Young Trib Force are separated, with some
of them in custody, and they must rely on their Christian faith to
help them survive the disaster."
A Year by the Sea: Thoughts of an Unfinished Woman,"A woman, separated from her husband and a flat marriage, spends a year
alone in a Cape Cod cottage, examining her life and finding the
affirmative wisdom and peace that allows her to revitalize her
marriage and freely engage life. Reprint."
Musical Instrument Design: Practical Information for Instrument Making,"Explore the world of musical instrument design and construction.
Includes unusual designs"
Happy are the clean of heart: A Father Blackie Ryan story,A Father Blackie Ryan story.
Make a Wish (Heart to Heart),"As a member of the Keep-Yourself-Beautiful club, fourteen-year-old
Melissa compensates for her shortness by learning about makeup and
hairstyles so that she can capture the attention of handsome Ryan
Carter."
Bad Behavior,"Collection of twenty-two mystery stories both new and previously
published by Thomas Adcock, Winifred Holtby, Joyce Carol Oates, Sara
Paretsky, Barbara Steiner, Eric Weiner, and others."
Field Guide to Edible Wild Plants: Eastern and Central North America (Peterson Field Guides (Paperback)),Field guide for wild plants by Peterson.
Upward Nobility: How to Succeed in Business Without Losing Your Soul,"A guide to using ethics to rise in the business world discusses a wide
range of everyday problems and opportunities, including balancing
conformity and individual style, writing an honest memo, writing an
honest expense report, and mixing ..."
"The Real Science Behind the X Files: Microbes, Meteorites, and Mutants","The &quot;science consultant&quot; for the popular sci-fi show
discusses the actual scientific research in cell biology, cloning,
genetic engineering, aging, hybrid cells, and computer technology that
informs the program, in a study featuring a ..."
Way Things Work,"Text and numerous detailed illustrations introduce and explain the
scientific principles and workings of hundreds of machines including a
lawn sprinkler, pneumatic drill, electric guitar, and a smoke
detector."
Board: Surf/Skate/Snow Graphics : Surf/Skate/Snow Graphics - Expanded Edition,"This revised edition of the first and most complete book on board
sports graphics -- from rarer, classic archival material to the latest
trends -- includes exciting examples of recent board graphics."
On the way to somewhere,Collection of poetry inspired by the Sydney 2000 Olympic Games.
Killing Time,"Seduced in every way, Wolfe joins the team. But are their methods
really as noble as their motives? Relentlessly suspenseful and packed
with brilliantly realized characters and settings, Killing Time
reveals a new side of a master novelist"
The Best Is Yet to Come,"Her idyllic life shattered by the sudden death of her husband and the
discovery that he was having an affair, New York decorator Carolina
Mountcastle becomes obsessed with finding his mistress and is forced
to confront painful truths about ..."
Whose Mouse Are You?,"In their very first collaboration, Robert Kraus and Jose Aruego give
charm and validity to one of childhood’s more difficult experiences."
Calvin and Hobbes,Online: gocomics.com/calvinandhobbes/
"Oliver Twist (Penguin Readers, Level 4)","A simplified retelling of the adventures of an orphan boy who lives in
the squalid surroundings of a nineteenth-century English workhouse
until he becomes involved with a gang of thieves."
Teach Yourself Better Chess (Teach Yourself (Teach Yourself)),"Teaches chess strategy and tactics through seventy-five lessons
designed for players who already know the fundamentals of the game,
divided into elementary, advanced, and master sections."
A Morning Like This,"New York Times bestselling author Deborah Bedford crafts a riveting
tale of two families and the secret that ties them together--a secret
that may destroy them both."
"The Navy Times Book of Submarines: A Political, Social, and Military History","From their earliest conception to the modern-day nuclear sub, this
guide delves into the history of submarines and the men who sailed
them, as well as the purpose they served during war time."
Lying with the Enemy: A Novel,"The peaceful world of German-occupied Guernsey, the only British
territory to be occupied by the Nazis during World War II, turns
horribly mad after the body of a murdered young woman turns up,
igniting an atmosphere of suspicion and anger ..."
Self Hypnotism: The Technique and Its Use in Daily Living,"According to the author, by using the simple, scientifically proven
methods given in this book, you can make direct contact with your
inner self, find the true source of your problems, and make them
vanish forever."
"Ancestry's Red Book: American State, County and Town Sources","In short, the Red Book is simply the book that no genealogist can
afford not to have.&quot;--Description from Amazon.com."
