title,description
I mari del Sud (Ingrandimenti),9
Making History: A Novel,9
P.J. the Spoiled Bunny (Random House Pictureback),"P.J. Bunny finally learns that if he wants people to play with him he
can&#39;t always have his own way."
Life in a Devon Village (Country Classics),9
"Two Parts Textbook, One Part Love: A Recipe for Successful Teaching","&quot;If there was ever a single book that enables you to survive
through teacher training and during your first teaching post THIS HAS
GOT TO BE IT!&quot; 3/4D.P. Byers, United Kingdom, reader review,
Amazon.com From the author of Dangerous Minds."
"Lightning's Last Hope (Ashleigh, No. 1)",9
The Gashlycrumb Tinies,"&#39;A is for Amy who fell down the stairs. B is for Basil assaulted
by bears. C is for Clara who wasted away. D is for Desmond thrown out
of a sleigh...&#39;"
From the Heat of the Day: A Novel,"In Georgetown, Guyana, Sonny woos and weds Gladys, but marriage,
poverty, and family responsibilities bring disillusionment to both"
Hardscape (Ben Abbott Novel),"Recently home from the slammer, former Wall Street trader Ben Abbott
is hired by a New York City private detective to spy on Rita Long,
suspected of cheating on her husband. Reprint."
Worth Any Price,What is the price of love?
Eine Zierde in ihrem Hause. Die Geschichte der Ottilie von Faber- Castell.,Diese Geschichte hatte Fontane inspirieren konnen. Suddeutsche Zeitung
"Murder, She Meowed (Mrs. Murphy Mysteries (Hardcover))","Participating in the annual steeplechase races at Montpelier,
postmistress Mary Minor &quot;Harry&quot; Haristeen investigates a
jockey&#39;s murder with the help of her sleuthing tiger cat, Mrs.
Murphy."
English in Business: A Guide to Effective Business Writing (Pan Breakthrough Books),9
The Ecstatic Journey: The Transforming Power of Mystical Experience,"Passionate, beautifully written, and comprehensive, The Ecstatic
Journey is a feast of fact and myth, knowledge and wisdom, that will
nourish and enlighten every spiritual voyager."
The Private Memoirs and Confessions of a Justified Sinner (Canongate Classics),9
Robert Browning: Selected Poetry (The Penguin Poetry Library),"Henry James called Robert Browning (1812-89) &#39;a tremendous and
incomparable modern&#39;, and the sheer immediacy and colloquial
energy of his poetry ensure its enduring appeal."
The World According to Dad,9
Button Button: Identification and Price Guide,"A concise, colorful, easy-to-use guide to the wonderful world of
buttons, it provides collectors with the information they need to
identify the age, material, and desirability of nearly every button,
and provides a price guide to help ..."
"The Castle: A New Translation, Based on the Restored Text","Translated by Willa and Edwin Muir From the Hardcover edition.
Introduction by Irving Howe; Translation by Willa and Edwin Muir
&quot;From the Hardcover edition."
A Family Trust: A Novel,"Back in print after twenty years, from one of America&#39;s preeminent
living authors: a resonant novel about a midwestern newspapering
family during and after the Korean War."
The Russian Bride,"Salka Radin, sent from Russia to live with her wealthy cousins in
Germany at the turn of the century, is swept into a stormy marriage
with the scion of a powerful banking family"
A Voyager Out: The Life of Mary Kingsley,"Profiles Mary Kingsley&#39;s rise from obscurity in a bizarre English
literary family to international fame as an explorer-geographer,
scientist, and best-selling author of two books on West Africa"
Der Kalligraph des Bischofs.,9
When Life Hurts: A Book of Hope,9
Help! I've Forgotten My Brain,9
The Daughter Dilemma : Heart of the Rockies (Superromance),9
Thief of Always,9
Soothing Soaps: For Healthy Skin,"Easy steps for making curative and healing soaps using household
ingredients this book gives readers all the easy steps for making
soaps that help to heal our bodies as they comfort our minds."
The Most Beautiful Woman in Town and Other Stories,9
Eater of Souls (Easter of Souls),"In ancient Egypt during the reign of King Tut, royal sleuth Lord Meren
investigates the mysterious death of Queen Nefertiti, a crime that may
involve Ammut, a serial killer and eater of souls from &quot;the other
side.&quot; Reprint."
Der Sommer Vor Der Dunkelheit/the Summer Before the Dark,"Eine Frau bricht auf sehr behutsame Weise mit ihrem bisherigen Leben:
Kate, Mitte 40, Mutter erwachsener Kinder, begibt sich nochmals auf
die Suche nach einem Beruf, da sie Zuhause nicht mehr gebraucht wird."
God's Bits of Wood.,9
Cortez Peters Championship Keyboarding Skillbuilding and Applications,"&quot;Cortez Peters Championship Keyboarding&quot; introduces world
championship keyboarding techniques, methods, drills, and strategies
in order to develop superior keyboarding capabilities."
Cats: A Celebration in Words & Paintings (Words & Paintings Series),"This bestselling series of words and paintings on popular topics has
new covers and has been redesigned. We&#39;re certain that the
beautiful new covers will capture the attention of your customers
immediately."
The Monster Garden,"Using a tissue sample she believes is from one of her father&#39;s
experiments in genetic engineering, Frankie accidentally creates a
baby monster, which begins to grow at an alarming rate."
Drove Rider (Atlantic Large Print),9
Trapped at Pearl Harbor: Escape from Battleship Oklahoma,"Recounts the author&#39;s experiences, and those of his fellow crew
members, when they were trapped aboard the capsized battleship for
twenty-five hours."
Close Up On Death,9
Frightful's Mountain,"The third book of a series that began with My Side of the Mountain is
told from Frightful&#39;s viewpoint, as she must now survive on her
own where human encroachment, winter, and famine threaten her efforts
to return to her first home. 35,000 ..."
"How Computers Work: Millennium Edition (How Computers Work, 5th ed)","Includes Pentium III and MMX processors, fingerprint and voice
recognition, notebook and palm computers, MP3 music and digital audio
...&quot;"
Standing Out (72),9
Signing at Sunday School (Beginning Sign Language Series),9
"Girl Reporter Stuck in Jam! (Get Real, No. 3)","Intrepid eleven-year-old journalist Casey Smith is so busy trying to
get a story for the newspaper about a victim of physical abuse that
she neglects her friend Ringo, the school&#39;s first male
cheerleader."
Pu-239 and Other Russian Fantasies: A Novella and Stories,9
"Die Ehen zwischen den Zonen Drei, Vier und FÃ?Â¼nf.",9
AngÃ©line de Montbrun,"&quot;Angeline de Montbrun&quot; par Laure Conan. Laure Conan etait
une ecrivaine canadienne-francaise (1845-1924)."
Egg Dancing,"In a darkly satiric novel about genetic engineering, insane asylums,
and Christian evangelicalism, a woman discovers her gynecologist
husband has been experimenting on her in order to develop the perfect
baby, and plans her revenge."
Letters to Marc About Jesus : Living a Spiritual Life in a Material World,9
Smart Sex : Honest Expert Information To Answer All Your Questions,"Offers current information about human sexuality, covering everything
from sexually transmitted diseases to retaining one&#39;s virginity to
how to use a condom"
Cercando Palermo: Romanzo,9
"Conscious Reader, The","This book is rich in its diverse selection of readings - from the arts
to biology; from computer science to cultural studies - with authors
who represent the spectrum of American ethnic cultures, as well as
minorities and women."
A Know-Nothing Halloween (I Can Read),"Four easily confused friends find their own way to celebrate
Halloween."
The Buddha of Brewer Street,9
"Bridesmaid'S Wedding (Legends Of The Outback) (Harlequin Romance, 3607)","The Bridesmaid&#39;s Wedding by Margaret Way released on May 25, 2000
is available now for purchase."
Close to My Heart: 3 Generations Reflect upon the Holocaust,9
House of Pain,"As a boy, Tony watched as the notorious house, where unspeakable
murders occurred, was demolished."
"Annales du disque-monde, numÃ?Â©ro 16 : Accrocs du roc",9
The Sedgemoor Strangler (Thorndike Large Print General Series),9
Finite Mathematics With Applications,"This one-semester text incorporates case studies and referenced
applications to emphasize the relevance of mathematics in everyday
life."
Dark Angel,9
Rock stars,9
Das Power- Lesebuch. Strategien fÃ?Â¼r mehr Erfolg und LebensqualitÃ?Â¤t.,9
"Cowboy's Special Woman (Silhouette Desire, No. 1449)",9
The Prophet's Way: Touching the Power of Life,"Drawing together mysticism and physics, the author describes his own
dramatic spiritual journeys in the farthest corners of the earth to
illuminate specific techniques readers can use to achieve spiritual
transformation."
The Lucky Stiff,"Saved by the last minute confession of the real murderer, Anna Marie
St. Clair asks J.J. Malone, a lawyer, to help her get revenge on those
who tried to frame her"
"Jesus, the man who lives",9
Bitte nicht sterben: Roman,9
Lost Star: The Story of Amelia Earhart,9
I Will Survive,"After her boyfriend cheats on her with her best friend and then goes
on to spread malicious gossip, Indiana high-school-junior Ellen
Hopkins vows revenge on all those she believes have wronged her."
CYCLOPS          X,9
Gb Aries,"It&#39;s in the stars and in the numbers: This series sells well year-
round and in all markets."
Promises to Keep,"President Jack Cassidy slowly recovers from an assassination attempt
in Dallas, while fellow politicians battle for power and a lone FBI
agent pursues a gunman intent on finishing his job"
Lolita (Everyman's Library (Cloth)),"A novel that studies the moral disintegration of a man whose obsessive
desire to possess his step-daughter destroys the lives of those around
him"
Exploring Marketing Research,CD ROM features data sets and the student version of SPSS software.
Map and Maze Puzzles (Superpuzzles Series),9
Euclidean and Non-Euclidean Geometry,"A thorough analysis of the fundamentals of plane geometry The reader
is provided with an abundance of geometrical facts such as the
classical results of plane Euclidean and non-Euclidean geometry,
congruence theorems, concurrence theorems, ..."
Capri File,"&quot;Coming to Capri to recoup, she thinks her rather creepy end of
the island would make a suitable sombre backdrop for a
novel.&quot;--Page 4 of cover."
Developing Linux Applications with GTK+ and GDK,"The goal of this book is to provide a handbook for Linux developers
who are moving to the Linux platform. The book covers information
found no place else--information that Linux developers need in one
comprehensive development book."
"Jugador, El",9
The Lee Girls,"Chronicles the lives of Robert E. Lee&#39;s four daughters from 1834
to the death of the last surviving daughter in 1918."
High Places,"When Dr. Simon Grace, a prominent televangelist, disappears in
Jerusalem, his son and daughter are determined to find and rescue him"
The Missing Rock Star Caper (Solve-It-Yourself),"The reader follows clues and directs the course of the investigation
into the mysterious disappearance of a famous rock star."
VerrÃ¤ter leben lÃ¤nger: Roman,9
Murder in Paradise: A Christmas in Hawaii Turns to Tragedy,"And nine years after his daughter&#39;s murder, after one of the most
complicated cases the state had ever seen, three men were convicted.
Here is a dramatic true story."
A Woman Called Scylla,9
First Offense,"In First Offence, Nancy Taylor Rosenberg draws on her personal
experience as a California probation officer to create a remarkable
heroine in Ann Carlisle, who suddenly finds herself the target of
someone who wishes to harm not only her but ..."
The Infotainment Nihilist Presents the Postmodern Sublime,9
Thomas Jefferson,"A short biography of Thomas Jefferson covers such topics as his life
as a Virginia gentleman, his passionate belief in democracy, his
defense of slavery, his relationship with Sally Hemings, and his
contributions to America as a writer, ..."
"Revenge! (Escape from Lost Island, No 5)",9
A Harvest of Bittersweet,9
Rendez-vous a Bagdad,"Victoria Jones fait la connaisance d&#39;un séduisant jeune homme et
le suive à Bagdad où un &quot;tourbillon d&#39;aventures
d&#39;espionnage&quot; les attend."
Tales of Edgar Allan Poe (Books of Wonder),9
STONES FROM THE RIVER,"Trudi Montag a dwarf, living in a small German town, through both
world wars, learns to find acceptance, because she learns that all
humans are different."
The Complete Book of Elves: Player's Handbook : Rules Supplement (Advanced Dungeons and Dragons),9
Basildon Bond Letters for Every Occasion (Know How),9
The Wily Wastrel (Signet Regency Romance),9
Autobiography of a Chinese Girl,9
Masquerade,When you gaze into the mirror--and find a stranger looking back?
Les fous de Bassan,"Le vent, la pluie, la rumeur de la mer et la pesanteur du passé font
de Griffin Creek, petit village du Québec, un lieu étrange et presque
hors du monde."
"Fearless Elizabeth (Sweet Valley Kids, No 15)","Elizabeth and Jessica are at odds once again when Elizabeth tries out
for the co-ed soccer team, while Jessica is content to play with dolls
and take ballet lessons."
Sisters in Arms,9
"El Principito (Fiction, Poetry and Drama)",9
Le volcan,9
"Tokyo Mew-Mew, Book 1",9
Morphology (Cambridge Textbooks in Linguistics) 2nd Edition,"Originally published in 1974, this updated and substantially revised
edition includes chapters on inflectional and lexical morphology,
derivational processes and productivity, compounds, paradigms, and
much new material on markedness and ..."
The Partner,9
Confidence: How to succeed at being yourself,"Tells readers how to build inner strength, handle rejection, keep
their flaws in perspective, and more."
Juffie Kane,"Chronicles Juffie Kane&#39;s rise to fame on Broadway, her upbringing
in lavish surroundings, the success she achieves based on beauty and
gritty determination, and the sins of her father--for which she will
be made to pay"
The Christmas cradle,9
Face The Music (Heart Beats),"Sixteen-year-old Sophy faces a painful decision when her ballroom
dancing partnership with her boyfriend Carlos threatens to interfere
with her dream of becoming a ballerina."
Faded Coat of Blue,"A British immigrant is hired to serve as a confidential agent to Union
General George McClellan and soon finds himself investigating the
death of a Union officer while the Civil War rages all around him."
Talk Sexy to the One You Love: (And Drive Each Other Wild in Bed),9
How to Control Your Anxiety Before It Controls You,"A guide to controlling unhealthy anxiety explores the wide range of
anxietyrelated dysfunctions and includes more than two hundred
rational maxims for staving off anxiety. Reprint."
To a Very Special Friend on Your Birthday,9
The Lost Swords: Endgame,"Contains: book 7 and final book of the lost swords series - Wayfinders
story; Shieldfinders story."
Rubber Stamp Celebrations: Dazzling Projects from Personal Stamp Exchange,"A guide to decorating small objects with rubber stamp designs and
other craft media."
The Vision,9
Tunnelvision,"Recovering from his father&#39;s devastating suicide and the
revelation that he is the son of a serial killer, policeman Bill Gage
becomes obsessed with the investigation of another serial killer"
Das Klingsor- Paradox.,9
"Face Facts, Sky (Making Friends)","They&#39;re best friends. A bunch of kids sharing their secrets, their
problems-and a lot of fun, too! Whaterver happens, they&#39;ll always
be there for one another."
Pandora,"Raphael&#39;s painting of Pandora, found by Raymond Belvedon in 1944,
ended up on the wall of his home, Foxes Court."
The Family,"By the time she leaves Jamaica to join her family in London, Gwendolen
feels alienated both from them and her culture, by the curses of
poverty, illiteracy, and rape"
Sushi for Dummies,9
Good Bye to All That (Brio Girls),9
The Case of the Rolling Bones (A Perry Mason Mystery),Years ago Alden Leeds found a rich vein of gold in the Klondike.
Family Celebrations at Thanksgiving: And Alternatives to Halloween,Christian Library of Lancaster Collection.
Paradox (Harlequin Superromance No. 70549),"Paradox by Lynn Erickson released on Mar 25, 1993 is available now for
purchase."
"Family: Family and Borghesia, Two Novellas",9
What Happened to Their Kids: Children of the Rich and Famous,"Explores the fate of children of celebrities--the daughter of John D.
Rockefeller, Ben Franklin&#39;s Tory son, and the surviving children
of the Lindberghs"
"The Worldly Philosophers : The Lives, Times And Ideas Of The Great Economic Thinkers","In this seventh edition, Robert L. Heilbroner provides a new theme
that connects thinkers as diverse as Adam Smith and Karl Marx."
Le Silence des agneaux,Un psychopathe surnommé Buffalo Bill terrifie l&#39;Amérique.
House of Lions,"Dolcetto DeLeone discovers the meaning of the Sicilian vendetta and
dedicates his life to upholding the family honor against the Mafia"
The Dream Spinner (Magical Love Romance Series),9
Loving Lily (Daughters of Liberty),"When Lily Walters, a passionate patriot as well as the first florist
in Williamsburg, Virginia, discovers that her younger brother has
joined the Sons of Liberty, she confronts their enigmatic new leader,
Adam Pearson, whose sensual ..."
"Rage of a Demon King (Feist, Raymond E. Serpent war Saga, Vol. 3)","When the evil Emerald Queen sets sail for Krondor, a terrible land-
and-sea battle ensues, causing a brave trio of magicians to undertake
a harrowing journey into the demon world to seal off the Rift that
allows evil to enter Midkemia."
Reeves: An Autobiography,9
Obras 3,9
Midnight,"Four citizens of Moonlight Cove are left . . . still untouched by the
inhuman experiment of computer genius Thomas Shaddock. they must
escape Moonlight Cove and expose the evil--before they face a fate
more tortuous than death . . . and as ..."
"Love, etc.",9
The Wizard of Oz and Alice in Wonderland Boxed Set,9
To Be or Not to Be: Shakespeare's Soliloquies,"This is an edition to complement the highly successful
SHAKESPEARE&#39;S SONNETS and is published in commemoration of
Shakespeare&#39;s birthday. Aperfect book for Shakespeare lovers and
enthusiasts."
Time Cop: A Novel,"When a corrupt senator breaks the rule against time travel, the Time
Enforcement Commission sends Max Walker after him, but Max must resist
the temptation to save his wife, who was murdered ten years ago"
The Theban Mysteries (Kate Fansler Novels (Paperback)),9
Dominique,"Dominique a longtemps été classé comme un chef-d&#39;œuvre du
&quot;roman psychologique&quot;."
First Love: An Anthology,9
"Mail - Order Bridegroom (Harlequin Romance, No 3361)","Mail-Order Bridegroom by Day Leclaire released on Mar 24, 1995 is
available now for purchase."
Surf UK,9
Zak & Wheezie: Clean Up (Dragon Tales (Ctw Books).),"A visit to their favorite two-headed dragon in Dragon Land convinces
Max and Emmy they should never throw out each other&#39;s possessions,
even if they look like trash."
Bruce Coville's Book of Aliens II: More Tales to Warp Your Mind,"A collection of tales filled with fearsome and friendly aliens
includes the stories of a boy whose life is permanently changed, an
alien-summoning pay phone, and a band of breakfast aliens."
Catching Water in a Net,9
For the Islands I Sing: An Autobiography,"George Mackay Brown wrote this memoir in the years before his death in
1996, but he did not want it published while he lived."
"Awareness Through Movement: Easy-to-Do Health Exercises to Improve Your Posture, Vision, Imagination, and Personal Awareness",9
ChÂ¿ri and The Last of ChÂ¿ri,"Two volumes of Colette&#39;s most beloved works, with a new
Introduction by Judith Thurman."
Peter Rabbit and Eleven Other Favorite Tales (Dover Children's Thrift Classics),9
A Kind of Grace : The Autobiography of the World's Greatest Female Athlete,"Jackie Joyner-Kersee is one of the world&#39;s most successful
athletes, and has dominated the women&#39;s decathlon for many years.
With this book, Jackie discusses how she has overcome her difficult
early years to rise to the top."
Enter Talking,"Joan Rivers describes her bitter and bizarre rise to stardom, from her
earliest memories that she belonged onstage, through her independent
struggle in Manhattan, to the evolution of her one-person show and the
winning of public and ..."
A Vow of Sanctity (A Sister Joan Mystery),"Sister Joan goes to beautiful Loch Morag in Scotland for a spiritual
retreat, but tragedy from the past still grips the small community,
and murder in the present forces her to abandon her solitude and
search for a killer. Reprint."
Patchwork & Applique,9
Say Hola to Spanish,"Introduces Spanish by defining such common words as &quot;hola&quot;
(&quot;hello&quot;), &quot;perro&quot; (&quot;dog&quot;), and
&quot;madre&quot; (&quot;mother&quot;)."
The Wolf and the Buffalo,9
The Tain Translated from the Irish Epic Tain Bo Cuailnge (Oxford Paperbacks),"The hero of the tale is Cuchulainn, the Hound of Ulster, who resists
the invaders single-handed while Ulster&#39;s warriors lie sick.
Thomas Kinsella presents a complete and living version of the story."
Enchantment: Hope Chest (Ballad Romances),9
Abderraman III (Nombres de la Historia),"Abderramán III fue el principal artífice del esplendor de al-Andalus,
aunque para ello tuvo que renunciar a sus propios intereses
personales. Él mismo dejó constancia de ello en un manuscrito que se
encontró tras su muerte en el que ..."
MY FIRST LOVE,"Nearly fifteen, Victoria finds that life is far from easy even though
she finally gets to Fire Island, where she wins the attention of the
handsomest boy in her school."
"Principe Feliz y Otros Cuentos, El",9
Michel Strogoff (World Classics),9
The Blooding of the Guns,9
Gastronomia divina (L'Ã¡ncora),9
Afterglow (Best Of The Best),"The closest free-spirited romance novelist Chelsea Lattimer got to
having anything in common with buttoned-down doctor David Winter was
the incredible chemistry that flared between them on a blind date."
Britney Spears: The Unauthorized Biography,"Recounts the life and rise to success of the popular singer, and
describes her music and her likes and dislikes"
Topol by Topol,9
Adventures of Tom Sawyer (Signet Classic Series),"The adventures of a mischievous young boy and his friends growing up
in a Mississippi River town in the nineteenth century."
The Long Goodbye,9
Educational Objectives: Core Curriculum for Residents in Obstetrics and Gynecology,9
"Full Time Father (Hometown Heartbreakers, Baby Arch) (Silhouette Special Edition, No 1042)",9
Country Baking,"Remember freshly baked treats from Grandma&#39;s kitchen? You&#39;ll
find old-fashioned delights like apple pandowdy, country cheddar loaf,
shoo-fly pie, buttermilk biscuits, sweet rolls and more in Country
Baking Cookbook."
The German Ideology: Including Thesis on Feuerbach (Great Books in Philosophy),"Introduction to the Critique of Political Economy, also found among
the posthumous papers of Marx, is a fragment of an introduction to his
main works. Combining these three works, this volume is essential for
an understanding of Marxism."
"Angel Next Door (Zebra Bouquet Romances, No 62)",9
The Wooden Sea : A Novel,"The arrival and subsequent death of a three-legged dog have a profound
impact on the life of Crane&#39;s View Police Chief Frannie McCabe,
who finds himself confront with a series of life-altering decisions
that could alter the fate of the ..."
Mafia Wipeout: How the Law Put Away an Entire Crime Family,"After years of terror, extortion, murder and graft, the greedy Scarfo
organized-crime family fell to a determined FBI and Mafia
&quot;turncoat witnesses&quot;--the first time since Elliot Ness and
&quot;The Untouchables&quot; that the government has convicted ..."
Less Than Angels,9
Dragonsdawn,"Deadly spores threaten the human colony of Pern unless the colonists,
with help from geneticist Kitti Ping, can develop fire-breathing
dragons to combat the menace"
The Complete Aquarium,"Provides advice on setting up, stocking, and maintaining an aquarium,
and details how to create sixteen different freshwater and marine
environments from all over the world"
Journeys in Reading: Level Five: The Green Street Three (Journeys in Reading),9
Area 51: The Reply,"In the sequel to Area 51, scientist Lisa Duncan and Special Forces
officer Mike Turcotte uncover the truth about an army training base in
Nevada, where the government awaits the return of extraterrestrials
and possibly the end of humankind."
Girls of Canby Hall #09: Boy Trouble,9
Saturn,"On a future Earth where fundamentalist politicians rule, the
planet&#39;s dissidents are boarded on a space arc destined for
Saturn, a journey that is further challenged by the schemes of corrupt
individuals. 30,000 first printing."
On My Way to Grandpa's,9
Torey's Prayer,"Satisfy the legions of romance readers hungry for wholesome, Christ-
centered stories by carrying Barbour&#39;s Heartsong Presents line."
The Twenty-Seventh City,"S. Jammu, a young, ambitious Indian woman, is sworn in as police chief
of St. Louis where the acts of private citizens are monitored and the
actions of Martin Probst and his family threatened to destroy her plan"
The Little Brother,9
Katherine,"The love story in fourteenth-century England of the Duke of Lancaster
and Katherine Swynford"
Ich ein Tag sprechen hÃ?Â¼bsch.,9
See Saw,"While homicide detective Ira Berger races to find the killer who has
been leaving a trail of bloody bodies throughout the city, homicidal
genius Charles Maris searches for a way to get back at one woman from
his past. Original."
Caesar's Bicycle : Caesar's Bicycle (Timeline Wars),"In order to stop the alien Closers, who have waged war on a million
alternate Earths, private eye Mark Strang gathers his assortment of
weaponry and confronts a mysterious closing of the Timelines.
Original."
How to Win the Job You Really Want,9
My First Little Christmas Pop-Up Book,9
A Summer for Secrets,"Haunted by images of a child in peril, Laura, a clairvoyant junior
high school student, attempts to locate and aid the unknown child and
blunders into the midst of a kidnapping"
The Official Rules of Card Games,"With complete rules on more than 300 popular card games, including the
new international laws of contract bridge, this comprehensive book
also includes special sections on: choosing games for particular
occasions, teaching card games to ..."
How to Kiss a Guy (Love Stories #3),"Winning a starring role in her school&#39;s production of &quot;Beauty
and the Beast,&quot; Naomi Peters discovers an entirely new side to
her personality and hopes her chemistry with male lead Dylan Russo
will continue offstage. Original."
"Live A Little! (Blaze, 19)","Live A Little! by Nancy Warren released on Nov 23, 2001 is available
now for purchase."
Let Us Worship,"In Judson Cornwall&#39;s study on worship, the reader will learn the
secrets of an intimate relationship with God."
Family Sins and Other Stories,Contains twelve short stories on the complexities of humanity.
Monster (rpkg),"Maybe I can make my own movie. The film will be the story of my life.
No, not my life, but of this experience. I&#39;ll call it what the
lady prosecutor called me ... Monster."
Heart and Soul: What It Takes to Promote Health While Confronting Cancer,9
"My Secret Wife: The Deveraux Legacy (Harlequin American Romance, No 945)",9
"I, Houdini",9
Murder in the Rough : A Sarah Deane Mystery (A Sarah Deane Mystery),"Is the wind up yet? This is perfect fireside reading.&quot; -&quot;The
New York Times Book Review&quot;&quot;The Bridled Groom&quot;&quot;The
smashing finale of a murderer on horseback is hair-
raising.&quot;-&quot;Houston Post&quot;&quot; &quot;&quot;Engaging and
literate."
The Wind from the Sun,"A volume containing all 18 short stories written by Arthur C. Clarke
in the 1960s. They depict a future in which technologies are beginning
to dictate man&#39;s lifestyle - even to demand life for themselves."
The Path of the Pale Horse (Charlotte Zolotow Book),"Lep, an apprentice to a doctor, helps his master take care of yellow
fever victims in Philadelphia during the epidemic of 1793."
"Trash or Treasure Directory of Buyers: How and Where to Easily Sell Collectibles, Antiques & Other Treasures Found Around Your House & Neighborhood (8th Edition)","Lists buyers for collectibles, including cameras and dolls"
The Beach,"A rootless young Westerner believes he has stumbled upon paradise on a
remote island off Thailand, a place known as &quot;The Beach,&quot;
until he discovers the deadly underside of the island&#39;s culture"
Lloyd George,"This first volume of John Grigg&#39;s great biography covers the
future Prime Minister&#39;s life from 1863 to 1902."
Down Under,"Australia has more things that can kill you than anywhere else.
Nevertheless, Bill Bryson journeyed to the country and promptly fell
in love with it."
Suffer the Little Children,"Tells the true story of the crimes of abuser, murderer, and child
molester Jesse James Cummings."
I Could Do Anything If I Only Knew What It Was: How to Discover What You Really Want and How to Get It,9
Approaching Oblivion: Road Signs on the Treadmill Toward Tomorrow,"Ellison&#39;s often prophetic visions of the future are revealed in
eleven tales of science fiction including Erotophobia, Ecowareness,
Hindsight: 480 Seconds, and I&#39;m Looking for Kadak"
Jacke wie Hose. Roman.,9
Sonora Sundown,9
Life's Little Treasure Book On Joy (Life's Little Treasure Books (Mini)),"A made-up set of 4 volumes, each containing aphorisms by the author
with some quotations from others."
When Smoke Ran Like Water: Tales of Environmental Deception and the Battle Against Pollution,"An epidemiologist identifies some 300,000 annual deaths in the U.S.
and Europe due to pollution, making revelations about historical and
smog-related mass casualties, and calling for major public changes."
The Village Baker's Wife: The Desserts and Pastries That Made Gayle's Famous,"Since opening 25 years ago, Gayles Bakery and Rosticceria in Capitola,
California, has grown from a humble 800-square-foot shop to one of the
largest, most successful fine-quality bakeries in America."
The Speckled Monster: A Historical Tale of Battling Smallpox,9
By Murder's Bright Light (The Sorrowful Mysteries of Brother Athelstan),9
Dictionary of Science,"A cross-referenced volume provides concise definitions of more than
two thousand words and concepts while offering examples of how each
word is used in context, enabling young readers to become familiar
with the fundamental principles of ..."
On Blue's Waters : Volume One of 'The Book of the Short Sun' (Book of the Short Sun),"A first volume in The Book of the Short Sun trilogy follows Horn and
his family, new settlers on the planet Blue, as Horn voyages in search
of the lost leader Silk to convince him to return and bring
prosperity."
Titanic: Legacy of the World's Greatest Ocean Liner,"Traces the entire Titanic story, from its construction in the early
1900s to its present day exploration at the bottom of the North
Atlantic"
"The Mystery at Miss Abigail's (Young Mandie Mystery, No 3)","When a beautiful tea pot goes missing from Miss Abigail&#39;s china
cabinet, Mandie must find out what happened to it before all the
residents of Charley Gap begin to fear for the security of their
property. Original."
L'Affaire Tournesol / Calculus Affair (Tintin),9
Ten Little Indians,"They had been watching 10-year-old Shayla Bennett--an innocent little
girl, all alone in the woods and completely at their mercy."
MORE Excel 97 for Windows for Dummies,"This jargon-free reference helps you take command of Excel 97&#39;s
advanced features, including macros, templates, custom charts, Web
publishing, and more. This book is the perfect companion to Excel 97
For Windows® For Dummies®."
The Coast of Chicago : Stories,9
Real Moments,"Offers inspiration and practical tools for making the most of
life&#39;s moments as they are spent in relationships, parenthood,
work, play, and sex Bestselling author and renowned relationships
expert Barbara De Angelis offers you her profound ..."
"Diana, Princess of Wales, 1961-97: A Tribute in Photographs","Diana, Princess of Wales was certainly one of the most photographed
women of all time; even in her childhood she was frequently
photographed due to her father&#39;s interest in amateur photography."
Summit (Palisades Presents Series),9
The Bonsai Tree,9
Bride By Arrangement (Harlequin Promo),"Three arranged marriages result in unexpected love in a trio of
historical romances--&quot;Wedding of the Century&quot; by Mary Jo
Putney, Merline Lovelace&#39;s &quot;Mismatched Hearts,&quot; and
&quot;My Darling Echo&quot; by Gayle Wilson."
A False Sense of Well Being (Ballantine Reader's Circle),"After eleven years of marriage, thirty-eight-year-old Jessie Maddox
finds herself in the middle of a midlife crisis as she begins to
experience a number of dark fantasies about her husband&#39;s untimely
end."
For Those I Loved,"The author&#39;s account of his life from his earliest days in the
Warsaw ghetto provides an incredible narrative of suffering and
survival"
My First Counting Book (The Little Golden Treasures Series),9
Das Erbe des Zauberers. Ein Roman aus der bizarren Scheibenwelt,9
CLOSE ENCOUNTERS THE SECRET WORLD OF ALEX MACK 18 (ALEX MACK),9
The Worm of Death,9
Photoshop 6 Web Magic (Magic (New Riders)),9
Pandemia- Saga IV. Die Stadt der GÃ?Â¶tter.,9
How I Get Through Life: A Wise and Witty Guide,9
Baba: A Return to China upon My Father's Shoulders,"The author retells her father&#39;s experiences growing up in China in
the 1930s and 1940s"
Tis,9
The Secret of Happiness,9
Sous l'aile du bizarre,9
Just Above My Head,9
Assignment Sheba,9
The Wonderful Wizard of Oz,"After a cyclone transports her to the land of Oz, Dorothy must seek
out the great wizard in order to return home to Kansas."
The Power of Positive Parenting : A Wonderful Way to Raise Children,"This book is intended to teach parents the skills necessary to solve
problems, and help family members live harmoniously."
"Meet Martin Luther King, Jr. (Step-Up Biographies)","A biography of the man largely responsible for uniting American blacks
in the fight for civil rights."
The Complete Blender Cookbook,9
Do Black Patent-Leather Shoes Really Reflect Up?: A Fictionalized Memoir,"Eddie Ryan somehow makes it through adolescence and Catholic high
school despite the constantly shifting maze of dogma and his own
athletic, academic, and sexual shortcomings"
"Bishop's Heir (Histories of King Kelson, Vol 1)",9
